# 公众号清单
# 每行格式：公众号名称 | 文章链接
# 文章链接获取方法：在手机微信打开该公众号任意一篇文章 → 右上角"···" → 复制链接
# 复制链接后粘贴到下面即可，一行一个

天津大学学生会 | https://mp.weixin.qq.com/s/RSj4ng0zun-Jti8fltxcjQ
青春天大 | https://mp.weixin.qq.com/s/yW97moWwEIVJXIURlT6Dtw
北洋军乐团 | https://mp.weixin.qq.com/s/AYyxGnD6YfuSBapirxXGEQ
经管学生工作 | https://mp.weixin.qq.com/s/AK6ZsYNeS7m1sjSoKOdRCQ
平安天大 | https://mp.weixin.qq.com/s/L4eWmU8K12pJ1nNOHwUWTw
青春智算 | https://mp.weixin.qq.com/s/C8Ev8IzxOaYWLsYFATSFkQ
天大后勤 | https://mp.weixin.qq.com/s/inRCC5k6pcKYJu4tUMToTA
天大青年文化促进会 | https://mp.weixin.qq.com/s/RsvIrI_-ySwlHeG_vAUFLQ
天大社研会 | https://mp.weixin.qq.com/s/qTPfu-WA6ENoIuWFyco0uA
天大算协 | https://mp.weixin.qq.com/s/42ROSeiDYWDxuAUPdZlVyQ
天大体育 | https://mp.weixin.qq.com/s/3oDOHRCSBher71WEdHfQhA
天大心理 | https://mp.weixin.qq.com/s/Jbm0zMB0O-y_YDP632dLmQ
天大宣怀XCLUB | https://mp.weixin.qq.com/s/BkFCwArXDqmOoyQIHCTu8A
天大学工 | https://mp.weixin.qq.com/s/-Sy8b8iS-chr3UtHelDpcQ
天津大学教务处 | https://mp.weixin.qq.com/s/hZ3r41vBM0W3IuvXtW54fw
天津大学 | http://mp.weixin.qq.com/s?__biz=MjM5NzkwNzU0Mg==&mid=2654833884&idx=1&sn=e78cf28fae5045dde692fd4bd699ca96&chksm=bc5cc9b2feffd3a613b227d5a6b1eba3f090eb35a8dca5ca5d0f42d722aa9ac4cea16228fc98&scene=126&sessionid=1786610155&subscene=227&clicktime=1786610158&enterid=1786610158#rd
天大招协 | https://mp.weixin.qq.com/s/i-Z5oQg_3wIpF2-4pmYrDg
天大学生资助 | https://mp.weixin.qq.com/s/Zi1lY1wh_Y3TPrCItysiPw
天津大学场馆中心 | https://mp.weixin.qq.com/s/OeQrpcBlsq6q56Wfr4Y1aw
天津大学青年志愿者协会 | https://mp.weixin.qq.com/s/BQ15imWuSHJPfjQhtUnEhA
天津大学膳食管理中心 | https://mp.weixin.qq.com/s/GBXKG9s8_A0zYRu7T0VsJg
天津大学团委 | https://mp.weixin.qq.com/s/ZZkDP5V-fH_wuFfm7IKbRg
天津大学图书馆 | https://mp.weixin.qq.com/s/szi1yT813eV91hJAC1IN1A
天津大学校园卡服务 | https://mp.weixin.qq.com/s/yxg4w-qHayXL-bEe_xShiA
天津大学学生社团团委 | https://mp.weixin.qq.com/s/x4HoUOO07fLGlfngEZtbmw
天津大学一站式学生社区 | https://mp.weixin.qq.com/s/DUvztXFEQbh-y2dRVrfusA
天津大学招生办 | http://mp.weixin.qq.com/s?__biz=MzA5NTQwOTgzMg==&mid=2651526646&idx=1&sn=56c5794fabdbcdd38009cb6eeb7ad620&chksm=8ab4ce842924a6a29d6f0dd6eb55c16f746ef709878c15a61a99ee7e57bef731140688a4f75f&scene=231&sessionid=1786610477&subscene=227&clicktime=1786610480&enterid=1786610480#rd
耀北洋 | http://mp.weixin.qq.com/s?__biz=MjM5NjQwNTE5MA==&mid=2650487252&idx=1&sn=59f8543689ae261d320c88236c7f89c6&chksm=bf88448e7c1f299b5af08e00851e19995906713c837df02e4dce6338d1a5292273dc71f8703a&scene=126&sessionid=1786610502&subscene=227&clicktime=1786610503&enterid=1786610503#rd
